Name,Info,Ratings,Highly_rated_for,Critically_rated_for,Number_of_Voters
NetCracker,IT Services & Consulting | 1k-5k Employees | 31 years old | Waltham +9 more,3,,"Job Security, Promotions / Appraisal, Company Culture",688
Orion Edutech,EdTech | 5k-10k Employees | 18 years old | Kolkata +107 more,3.2,,"Promotions / Appraisal, Salary & Benefits, Job Security",687
Netscribes,Analytics & KPO | 1k-5k Employees | 24 years old | New York +10 more,2.9,,"Promotions / Appraisal, Salary & Benefits, Job Security",685
Westside,Fashion & Textile | 5k-10k Employees | 26 years old | Mumbai +99 more,4.1,"Job Security, Skill Development / Learning, Company Culture",,685
CNH Industrial,Automobile | 1k-5k Employees | Public | 11 years old | London +57 more,4.1,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal,685
Quantiphi Analytics Solutions Private Limited,IT Services & Consulting | 1k-5k Employees | Startup | 11 years old | Marlborough +11 more,3.1,,"Job Security, Work Life Balance, Promotions / Appraisal",682
Gharda Chemicals,Chemicals | 1k-5k Employees | 57 years old | Mumbai +56 more,4.2,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,682
Knorr-Bremse,Auto Components | 501-1k Employees | Forbes Global 2000 | 11 years old | Munich +25 more,4,"Work Life Balance, Job Security",Promotions / Appraisal,682
NetAmbit,BPO | 10k-50k Employees | 24 years old | Noida +89 more,3.4,,"Job Security, Promotions / Appraisal, Work Satisfaction",681
Toppr,EdTech | 1k-5k Employees | Startup | 11 years old | Mumbai +43 more,3.4,,"Job Security, Promotions / Appraisal, Work Life Balance",681
HT Media,Media & Entertainment | 1k-5k Employees | Public | 100 years old | Delhi/NCR +39 more,3.3,,"Promotions / Appraisal, Work Satisfaction, Job Security",681
HT Media,Media & Entertainment | 1k-5k Employees | Public | 100 years old | Delhi/NCR +39 more,3.3,,"Promotions / Appraisal, Work Satisfaction, Job Security",681
Aviva Life Insurance India,Insurance | 1k-5k Employees | Forbes Global 2000 | 328 years old | London +107 more,3.6,,"Promotions / Appraisal, Job Security, Work Satisfaction",679
Duck Creek Technologies,Software Product | 501-1k Employees | 24 years old | Boston +7 more,4.5,"Work Life Balance, Company Culture, Work Satisfaction",,679
Godrej Agrovet,Agriculture | 1k-5k Employees | Mumbai +108 more,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,678
Centum Electronics,Electronics Manufacturing | 1k-5k Employees | Public | 30 years old | Bangalore/Bengaluru +15 more,3.9,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",678
Star Cement,Building Material | 1k-5k Employees | Public | 23 years old | Kolkata +62 more,4,"Job Security, Work Life Balance",Promotions / Appraisal,678
Atlas Copco,Industrial Machinery | 1k-5k Employees | Public | 151 years old | Nacka Municipality +50 more,4.3,"Company Culture, Job Security, Work Life Balance",,677
Globant,Software Product | 1k-5k Employees | 21 years old | San Francisco +12 more,4,"Work Life Balance, Company Culture, Salary & Benefits",,676
C.R.I. Pumps,Industrial Machinery | 1k-5k Employees | 63 years old | Coimbatore +59 more,3.9,Skill Development / Learning,Promotions / Appraisal,674
CADD Centre Training Services,Education & Training | 1k-5k Employees | 36 years old | Chennai +127 more,4.1,"Skill Development / Learning, Company Culture, Work Satisfaction","Promotions / Appraisal, Salary & Benefits",674
Neel Metal Products,Metals & Mining | 501-1k Employees | Gurgaon / Gurugram +33 more,4.1,"Job Security, Skill Development / Learning, Work Satisfaction",,674
NTT,IT Services & Consulting | 10k-50k Employees | 18 years old | London +40 more,4,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,674
Leadec India,Facility Management Services | 1k-5k Employees | 62 years old | Stuttgart +50 more,4,,Promotions / Appraisal,674
Timken,Industrial Machinery | 1k-5k Employees | Public | 26 years old | Bangalore/Bengaluru +35 more,3.9,Job Security,Promotions / Appraisal,673
Mastek,IT Services & Consulting | 1k-5k Employees | Public | 42 years old | Mumbai +18 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",671
Natco Pharma,Pharma | 1k-5k Employees | Public | 43 years old | Hyderabad/Secunderabad +48 more,4,"Job Security, Salary & Benefits, Work Life Balance",,670
Page Industries,Fashion & Textile | 10k-50k Employees | Public | 30 years old | Bangalore/Bengaluru +76 more,4.2,"Job Security, Salary & Benefits, Company Culture",,670
NBC Bearings,Auto Components | 1k-5k Employees | Public | 78 years old | Jaipur +25 more,3.9,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",670
Sykes Business Services Of India,BPO | 10k-50k Employees | 47 years old | Tampa +16 more,3.4,,"Promotions / Appraisal, Salary & Benefits, Company Culture",669
Alok Industries,Fashion & Textile | 10k-50k Employees | Public | 38 years old | Mumbai +30 more,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",668
Qinecsa Solutions,Clinical Research | Mysuru / Mysore +11 more,2.9,,"Promotions / Appraisal, Job Security, Company Culture",668
Lumina Datamatics,IT Services & Consulting | 1k-5k Employees | 49 years old | Mumbai +15 more,3.4,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",668
Fractal Analytics,Analytics & KPO | 1k-5k Employees | Indian Unicorn | 24 years old | New York City +13 more,4,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,668
Sandhar Technologies,Auto Components | 1k-5k Employees | Public | 37 years old | Gurgaon/Gurugram +29 more,3.8,,"Promotions / Appraisal, Salary & Benefits, Company Culture",666
Yashoda Hospitals,Healthcare | 501-1k Employees | 35 years old | Ghaziabad +25 more,3.9,,"Promotions / Appraisal, Salary & Benefits",666
Godfrey Phillips India,FMCG | 501-1k Employees | Public | 91 years old | Delhi/NCR +89 more,4,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,666
Parekh Integrated Services,Logistics | 1k-5k Employees | 43 years old | Mumbai +69 more,4.1,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal,664
KEI Industries,Electrical Equipment | 1k-5k Employees | Public | 56 years old | Delhi/NCR +76 more,4.2,"Salary & Benefits, Work Life Balance, Job Security",,664
Michelin,Auto Components | 1k-5k Employees | 15 years old | Clermont-Ferrand +41 more,3.9,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,664
General Mills,Food Processing | 1k-5k Employees | Forbes Global 2000 | 96 years old | Minneapolis +42 more,4.2,"Company Culture, Work Life Balance, Job Security",,662
Medha Servo Drives,Electrical Equipment | 1k-5k Employees | 40 years old | Hyderabad/Secunderabad +47 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,662
United Breweries,Beverage | 1k-5k Employees | Public | 167 years old | Bangalore/Bengaluru +90 more,3.8,,Promotions / Appraisal,661
Collins Aerospace,Defence & Aerospace | 1k-5k Employees | 91 years old | Charlotte +7 more,4,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,661
Huhtamaki,Packaging | 1k-5k Employees | 89 years old | Espoo +33 more,3.9,Skill Development / Learning,Promotions / Appraisal,660
Precision Techserve,IT Services & Consulting | 1k-5k Employees | 25 years old | Chennai +85 more,3.8,,"Promotions / Appraisal, Salary & Benefits",659
Xebia,IT Services & Consulting | 1k-5k Employees | 23 years old | Atlanta +16 more,3.5,,"Promotions / Appraisal, Job Security, Work Satisfaction",658
Bayer,Pharma | 10k-50k Employees | Public | 161 years old | Monheim Am Rhein +98 more,4.1,"Work Life Balance, Company Culture, Job Security",,657
Signify,Consumer Electronics & Appliances | 1k-5k Employees | Conglomerate | 8 years old | Eindhoven +65 more,3.6,,"Promotions / Appraisal, Work Satisfaction, Job Security",657
Porter,Internet | 1k-5k Employees | Startup | 10 years old | Bangalore +24 more,4.2,"Company Culture, Work Life Balance, Work Satisfaction",,657
HomeLane,Architecture & Interior Design | 1k-5k Employees | Startup | 10 years old | Bangalore +35 more,3.5,,"Job Security, Promotions / Appraisal, Work Life Balance",655
Nityo Infotech,IT Services & Consulting | 1k-5k Employees | 18 years old | plainsboro New Jersey +28 more,3.1,,"Promotions / Appraisal, Job Security, Company Culture",654
Indusind Marketing & Financial Services,Financial Services | 501-1k Employees | 22 years old | Chennai +253 more,4,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,654
Defence Research & Development Organisation,Defence & Aerospace | 10k-50k Employees | Central | 66 years old | Delhi/NCR +44 more,4.5,"Work Life Balance, Skill Development / Learning, Work Satisfaction",,654
Varroc Polymers,Auto Components | 201-500 Employees | 29 years old | Aurangabad +32 more,3.9,,Promotions / Appraisal,654
Fareportal,Internet | 1k-5k Employees | 22 years old | New York +11 more,3.3,,"Promotions / Appraisal, Job Security, Work Satisfaction",654
Aristo Pharmaceuticals,Pharma | 1k-5k Employees | 53 years old | Mumbai +89 more,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,654
Baroda Global Shared Services,Banking | 10k-50k Employees | Public | 7 years old | Mumbai +104 more,4.1,"Work Life Balance, Company Culture, Work Satisfaction",,653
Apex Group,Financial Services | 1k-5k Employees | 21 years old | Hamilton +20 more,2.8,,"Promotions / Appraisal, Company Culture, Work Satisfaction",651
Greaves Cotton,Auto Components | 501-1k Employees | Public | 165 years old | Mumbai +38 more,4.1,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,651
Velocis Systems,IT Services & Consulting | 1k-5k Employees | 29 years old | Noida +47 more,3.9,"Work Life Balance, Job Security",Promotions / Appraisal,651
ICCS,BPO | 501-1k Employees | 19 years old | Delhi/NCR +25 more,3.3,,"Promotions / Appraisal, Salary & Benefits, Job Security",650
Royal Sundaram General Insurance,Insurance | 1k-5k Employees | 23 years old | Chennai +95 more,4,"Work Life Balance, Job Security",Promotions / Appraisal,650
SFO Technologies,Electronics Manufacturing | 1k-5k Employees | 34 years old | Kochi/Cochin +14 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Company Culture",649
Athena BPO,BPO | 201-500 Employees | 5 years old | Mumbai +28 more,3.3,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",647
J B Chemicals And Pharmaceuticals,Pharma | 1k-5k Employees | Public | 48 years old | Mumbai +71 more,3.9,,Promotions / Appraisal,647
Fluor Corporation,Forbes Global 2000 | Gurgaon / Gurugram +22 more,4.3,"Work Life Balance, Company Culture, Salary & Benefits",Job Security,647
Financial Software & Systems,FinTech | 1k-5k Employees | 33 years old | Chennai +26 more,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",647
THE LEELA PALACES HOTELS & RESORTS,Hospitality | 1k-5k Employees | Conglomerate | 41 years old | Mumbai +27 more,4,Job Security,,646
Franklin Templeton Investments,1k-5k Employees | 77 years old | San Mateo +28 more,4.2,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,646
Greenko Group,Power | 1k-5k Employees | 20 years old | Hyderabad +59 more,3.9,Job Security,Promotions / Appraisal,645
Rungta Mines,Metals & Mining | 1k-5k Employees | Public | 62 years old | Singhbum +25 more,4.1,"Job Security, Work Life Balance, Salary & Benefits",,644
Svatantra Microfin,NBFC | 5k-10k Employees | 12 years old | Mumbai +238 more,4.2,"Job Security, Company Culture, Skill Development / Learning",,644
Adani Enterprises,10k-50k Employees | Public | 36 years old | Ahmedabad +57 more,3.8,Job Security,"Promotions / Appraisal, Company Culture",644
Bechtel,Engineering & Construction | 1k-5k Employees | 126 years old | Reston +25 more,4.1,"Salary & Benefits, Company Culture, Work Life Balance",Job Security,644
Panacea Biotec,Biotechnology | 1k-5k Employees | Public | 40 years old | Delhi/NCR +52 more,3.9,Work Life Balance,Promotions / Appraisal,644
Hitachi Payment Services,FinTech | 1k-5k Employees | 16 years old | Mumbai +49 more,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",643
AuthBridge Research Services,IT Services & Consulting | 1k-5k Employees | 19 years old | Gurgaon +15 more,3.7,,"Promotions / Appraisal, Salary & Benefits",642
Bayer Crop Science Vegetable Seeds,Hyderabad / Secunderabad +142 more,4.4,"Skill Development / Learning, Company Culture, Work Life Balance",,641
Medusind Solutions,IT Services & Consulting | 1k-5k Employees | 22 years old | Mumbai +9 more,3.8,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",641
Naukri,Internet | 1k-5k Employees | Public | 28 years old | Noida +61 more,4,"Job Security, Company Culture, Work Life Balance",,640
Embibe,EdTech | 1k-5k Employees | Startup | 12 years old | Bangalore +19 more,3.6,,"Job Security, Promotions / Appraisal",637
Mswipe Technologies,FinTech | 1k-5k Employees | 13 years old | Mumbai +81 more,3.1,,"Promotions / Appraisal, Job Security, Company Culture",637
Jabil Circuit India,Electronics Manufacturing | 1k-5k Employees | Public | 58 years old | St Petersburg +12 more,4,"Skill Development / Learning, Company Culture",Promotions / Appraisal,635
GE Healthcare,Healthcare | 1k-5k Employees | 30 years old | Chicago +29 more,4.2,"Company Culture, Job Security, Work Life Balance",,635
Shilpa Medicare,Pharma | 1k-5k Employees | Public | 37 years old | Raichur +29 more,3.5,,"Job Security, Company Culture, Salary & Benefits",634
Parag Milk Foods,FMCG | 1k-5k Employees | Public | 32 years old | Mumbai +69 more,4.3,"Company Culture, Work Life Balance, Skill Development / Learning",,633
Genpact Headstrong Capital Markets,IT Services & Consulting | 1k-5k Employees | 26 years old | New Delhi +18 more,3.8,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",633
Prism Johnson,Building Material | 1k-5k Employees | Public | 32 years old | Mumbai +110 more,3.9,,Promotions / Appraisal,633
National Health Mission,Healthcare | 10k-50k Employees | 19 years old | Guwahati +234 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Job Security",631
Samsung Engineering,Engineering & Construction | 1k-5k Employees | 18 years old | Suwon-Si +48 more,4.2,"Salary & Benefits, Work Life Balance, Work Satisfaction",,630
ACL Digital,IT Services & Consulting | 1k-5k Employees | 32 years old | Santa Clara +20 more,3.6,,"Promotions / Appraisal, Skill Development / Learning, Job Security",630
Updater Services,Facility Management Services | 50k-1 Lakh Employees | 39 years old | Chennai +77 more,3.9,,"Promotions / Appraisal, Job Security",629
Guardian India,Insurance | 1k-5k Employees | 164 years old | New York  +9 more,4.1,"Job Security, Company Culture, Work Life Balance",,629
Sanden Vikas,Auto Components | 1k-5k Employees | 42 years old | Faridabad +23 more,4,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,629
Arohan Financial Services,NBFC | 5k-10k Employees | 18 years old | Kolkata +165 more,4.1,"Salary & Benefits, Job Security, Company Culture",,628
Amazon Web Services,Software Product | 10k-50k Employees | Public | 18 years old | Seattle +45 more,4,"Salary & Benefits, Company Culture, Skill Development / Learning",Job Security,627
Schlumberger,Oil & Gas | 5k-10k Employees | Forbes Global 2000 | 98 years old | Houston +27 more,4.1,"Company Culture, Work Life Balance, Salary & Benefits",,626
Artech Infosystems,1k-5k Employees | 32 years old | Morristown +20 more,3.6,,"Promotions / Appraisal, Job Security, Skill Development / Learning",626
Knight Frank,Real Estate | 501-1k Employees | 128 years old | London +44 more,4.1,"Company Culture, Work Life Balance, Salary & Benefits",,625
BNP Paribas India Solutions,IT Services & Consulting | 5k-10k Employees | 176 years old | Paris +9 more,4,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,625
Merino Industries,Furniture & Furnishing | 1k-5k Employees | Public | 56 years old | Delhi/NCR +57 more,3.8,,Promotions / Appraisal,623
Future Supply Chain Solutions,Logistics | 1k-5k Employees | Public | 18 years old | Mumbai +62 more,4.4,"Company Culture, Work Satisfaction, Work Life Balance",,623
OLX,Internet | 1k-5k Employees | 18 years old | Gurgaon +48 more,3.8,"Salary & Benefits, Work Life Balance","Job Security, Promotions / Appraisal",622
Citigroup,Banking | 10k-50k Employees | Forbes Global 2000 | 212 years old | New York City +35 more,3.7,Salary & Benefits,"Work Satisfaction, Promotions / Appraisal, Skill Development / Learning",622
Salcomp Manufacturing,Electronics Manufacturing | 1k-5k Employees | 18 years old | Salo +20 more,4.1,"Job Security, Skill Development / Learning, Work Satisfaction",Promotions / Appraisal,622
NoBrokerHOOD,Software Product | 1k-5k Employees | Startup | Bangalore / Bengaluru +27 more,3.3,,"Job Security, Work Satisfaction, Company Culture",620
Comviva Technology,IT Services & Consulting | 1k-5k Employees | 25 years old | Gurgaon +17 more,3.3,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",618
Simplilearn,EdTech | 1k-5k Employees | 15 years old | San Francisco +9 more,3.3,,"Promotions / Appraisal, Job Security, Work Satisfaction",618
Kaizen IT Services,IT Services & Consulting | 1k-5k Employees | 25 years old | Kolkata +79 more,4.5,"Work Life Balance, Company Culture, Work Satisfaction",,617
Tata Cummins,Auto Components | 1k-5k Employees | 31 years old | Pune +34 more,4.5,"Company Culture, Skill Development / Learning, Work Life Balance",,616
MG Motor,Automobile | 1k-5k Employees | 100 years old | To be Validated +64 more,4.1,"Company Culture, Salary & Benefits",,616
Tata Starbucks,Hospitality | 1k-5k Employees | 53 years old | Mumbai +40 more,4.3,"Job Security, Company Culture, Skill Development / Learning",,615
Bitwise Solutions,IT Services & Consulting | 1k-5k Employees | 28 years old | Schaumburg +7 more,4.1,"Company Culture, Work Life Balance, Skill Development / Learning",,614
Deccan Fine Chemicals,Agro Chemicals | 1k-5k Employees | 16 years old | Hyderabad/Secunderabad +21 more,3.7,,"Company Culture, Promotions / Appraisal, Work Satisfaction",613
Snapdeal,Internet | 1k-5k Employees | Indian Unicorn | 14 years old | Delhi +30 more,3.9,"Company Culture, Work Life Balance, Work Satisfaction","Job Security, Promotions / Appraisal",613
HP India,Consumer Electronics & Appliances | 1k-5k Employees | 27 years old | Bengaluru +51 more,4.2,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,612
Volvo,Automobile | 1k-5k Employees | Forbes Global 2000 | 97 years old | Gothenburg +36 more,4.1,"Job Security, Work Life Balance, Company Culture",,612
DuPont,Waste Management | 1k-5k Employees | 222 years old | Wilmington +46 more,4.1,"Company Culture, Work Life Balance, Job Security",,610
Border Security Force,Law Enforcement & Security | 1 Lakh+ Employees | 59 years old | Delhi/NCR +90 more,4.5,"Job Security, Salary & Benefits, Skill Development / Learning",,610
Musashi Auto Parts,Auto Components | 1k-5k Employees | 86 years old | Gurgaon/Gurugram +21 more,4,Skill Development / Learning,Promotions / Appraisal,610
Karvy Stock Broking,1k-5k Employees | 34 years old | Hyderabad/Secunderabad +101 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Job Security",608
DP World,Logistics | 1k-5k Employees | Public | 19 years old | Dubai +56 more,4,"Salary & Benefits, Job Security",Promotions / Appraisal,608
Galfar,Engineering & Construction | 1k-5k Employees | 52 years old | Muscat +34 more,4.2,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,607
Times Internet,Internet | 10k-50k Employees | Public | 25 years old | Gurgaon +24 more,3.6,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",607
OCS Group,Facility Management Services | 10k-50k Employees | 28 years old | Mumbai +48 more,4,,Promotions / Appraisal,606
Cogoport,Internet | 51-200 Employees | Startup | 8 years old | Mumbai +12 more,2.9,,"Job Security, Company Culture, Promotions / Appraisal",606
Amphenol Interconnect,Electrical Equipment | 201-500 Employees | 52 years old | Pune +13 more,4.2,"Work Life Balance, Company Culture, Skill Development / Learning",,606
TÜV NORD,Other | 201-500 Employees | 35 years old | Mumbai +57 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Job Security",605
Ageas Federal Life Insurance,Insurance | 1k-5k Employees | 16 years old | Mumbai +110 more,3.7,,"Promotions / Appraisal, Work Satisfaction, Job Security",604
Zetwerk Manufacturing Businesses,Industrial Machinery | 1k-5k Employees | Indian Unicorn | 6 years old | Bangalore +80 more,4.1,"Salary & Benefits, Company Culture, Work Life Balance",,603
CRB Tech Solution,EdTech | 501-1k Employees | 23 years old | Pune +9 more,4.1,"Skill Development / Learning, Salary & Benefits, Company Culture",,602
First Advantage,Recruitment | 1k-5k Employees | 21 years old | Atlanta +12 more,3.9,"Company Culture, Work Life Balance",Promotions / Appraisal,601
GirnarSoft,IT Services & Consulting | 1k-5k Employees | 17 years old | Jaipur +44 more,3.6,,"Promotions / Appraisal, Job Security, Work Satisfaction",600
Silaris Informations,BPO | 1k-5k Employees | 13 years old | Delhi/NCR +19 more,3.2,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",600
Quess IT Staffing Solutions,Conglomerate | Bangalore / Bengaluru +52 more,3.5,,"Promotions / Appraisal, Job Security, Skill Development / Learning",600
Tata Hitachi Construction Machinery,Industrial Machinery | 1k-5k Employees | Fortune India 500 | 25 years old | Bangalore/Bengaluru +66 more,4,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,599
Amul Dairy,Food Processing | 1k-5k Employees | 76 years old | Anand +127 more,4.1,"Job Security, Work Life Balance, Company Culture",,599
Union Bank of India,Banking | 50k-1 Lakh Employees | Public | 105 years old | Mumbai +126 more,4.1,"Job Security, Skill Development / Learning, Salary & Benefits",,598
Re Sustainability Limited,Waste Management | 10k-50k Employees | 30 years old | Hyderabad +67 more,4,"Job Security, Work Life Balance",Promotions / Appraisal,598
Bpo Convergence,BPO | 1k-5k Employees | Conglomerate | 10 years old | Bhubaneswar +32 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Job Security",597
H&M,Fashion & Textile | 1k-5k Employees | Forbes Global 2000 | 77 years old | Stockholm +46 more,4,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,597
Accolite,IT Services & Consulting | 1k-5k Employees | 17 years old | Dallas +12 more,3.4,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",597
Nlb Services,Recruitment | 1k-5k Employees | 17 years old | Alpharetta +20 more,4,"Work Life Balance, Salary & Benefits, Company Culture",,596
Encora,IT Services & Consulting | 1k-5k Employees | 19 years old | Scottsdale +12 more,3.8,"Work Life Balance, Company Culture",Promotions / Appraisal,596
Sandvik Asia,Industrial Machinery | 10k-50k Employees (Global) | 162 years old | Stockholm +35 more,4.3,"Company Culture, Salary & Benefits, Job Security",,596
Wonder Cement,Building Material | 1k-5k Employees | Fortune India 500 | 14 years old | Ajmer +84 more,4.2,"Skill Development / Learning, Salary & Benefits, Job Security",,596
Varthana,Financial Services | 501-1k Employees | 11 years old | Bangalore +72 more,4.4,"Company Culture, Work Life Balance, Salary & Benefits",,595
IMPACT Infotech,Recruitment | 1k-5k Employees | 30 years old | Pune +56 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Job Security",594
Investors Clinic,Real Estate | 1k-5k Employees | 15 years old | Noida +24 more,3.8,"Skill Development / Learning, Company Culture",,593
mPokket,FinTech | 1k-5k Employees | Startup | 8 years old | Kolkata +11 more,4.2,"Skill Development / Learning, Company Culture, Job Security",,593
Eris Lifesciences,Pharma | 1k-5k Employees | Public | 17 years old | Ahmedabad +77 more,3.8,,,593
_VOIS,IT Services & Consulting | 10k-50k Employees | 18 years old | Pune +12 more,4,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,593
Deepak Fertilisers and Petrochemicals,Agro Chemicals | 1k-5k Employees | Public | 45 years old | Pune +47 more,4,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,593
Target,Retail | 1k-5k Employees | Forbes Global 2000 | 122 years old | Minneapolis +16 more,4.2,"Company Culture, Work Life Balance, Job Security",,593
Ashirvad Pipes,Building Material | 1k-5k Employees | 49 years old | Bangalore/Bengaluru +84 more,4.1,"Salary & Benefits, Skill Development / Learning, Job Security",,593
Rallis India,Agro Chemicals | 1k-5k Employees | Public | 76 years old | Mumbai +95 more,4.2,"Job Security, Work Life Balance, Company Culture",,592
FIITJEE,Education & Training | 1k-5k Employees | 32 years old | Delhi +45 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Company Culture",592
MasterCard,FinTech | 5k-10k Employees | Forbes Global 2000 | 58 years old | Purchase +14 more,4.1,"Job Security, Work Life Balance, Company Culture",,592
Kutumbh Care,Recruitment | 5k-10k Employees | 17 years old | Noida +161 more,3.9,"Skill Development / Learning, Work Life Balance, Work Satisfaction",Promotions / Appraisal,591
Navayuga Engineering Company,Engineering & Construction | 501-1k Employees | 125 years old | Hyderabad/Secunderabad +57 more,4.1,"Job Security, Work Life Balance, Skill Development / Learning",,591
Columbia Asia,Healthcare | 1k-5k Employees | 19 years old | Bangalore/Bengaluru +20 more,4.4,"Company Culture, Skill Development / Learning, Job Security",,590
Veradigm,Pune +6 more,4.1,"Company Culture, Work Life Balance, Job Security",,590
KGISL,IT Services & Consulting | 1k-5k Employees | 28 years old | Coimbatore +14 more,3.1,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",589
MattsenKumar,BPO | 1k-5k Employees | 14 years old | Gurgaon/Gurugram +10 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Job Security",588
Eveready Industries,Consumer Electronics & Appliances | 1k-5k Employees | Public | 90 years old | Kolkata +78 more,3.9,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,588
ESL Steel,Iron & Steel | 5k-10k Employees | Public | 18 years old | Jharkhand +19 more,4.1,"Skill Development / Learning, Salary & Benefits",,587
IVY Comptech,IT Services & Consulting | 1k-5k Employees | 23 years old | Hyderabad/Secunderabad +5 more,4,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Skill Development / Learning",586
Primus Global Technologies,IT Services & Consulting | 11-50 Employees | 22 years old | Irving +28 more,4.1,"Work Life Balance, Company Culture, Work Satisfaction",,586
Swaraj Tractors,Automobile | 1k-5k Employees | Conglomerate | 62 years old | Mumbai +75 more,4.2,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,585
L&T Power,Power | 1k-5k Employees | Public | 18 years old | Mumbai +88 more,3.9,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance",585
Kurlon,Furniture & Furnishing | 501-1k Employees | 62 years old | Bangalore/Bengaluru +84 more,4.3,"Work Life Balance, Company Culture, Work Satisfaction",,584
uFaber,Education & Training | 1k-5k Employees | Startup | 11 years old | Mumbai +19 more,2.7,,"Promotions / Appraisal, Salary & Benefits, Job Security",584
CSM Technologies,IT Services & Consulting | 1k-5k Employees | 26 years old | Bhubaneswar +19 more,4.4,"Job Security, Skill Development / Learning, Work Life Balance",,584
TCNS Clothing Company,Fashion & Textile | 501-1k Employees | Public | 23 years old | Delhi/NCR +97 more,4,"Skill Development / Learning, Job Security, Work Life Balance",,583
Xceedance,Insurance | 1k-5k Employees | 11 years old | Boston +9 more,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits",583
Astral Adhesives,Chemicals | 501-1k Employees | 37 years old | Ahmedabad +114 more,4.1,"Job Security, Salary & Benefits, Work Life Balance",,583
DAV Public School,Education & Training | 1 Lakh+ Employees | 138 years old | Delhi/NCR +141 more,4.1,"Skill Development / Learning, Salary & Benefits",,583
Fortrea Development India Private Limited,Clinical Research | 5k-10k Employees | 1 years old | Durham +10 more,4,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,583
RAMTeCH Software Solutions,IT Services & Consulting | 1k-5k Employees | 32 years old | Noida +28 more,3.9,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",583
Jaya Hind Industries,Auto Components | 1k-5k Employees | Public | 77 years old | Pune +21 more,3.7,,"Job Security, Promotions / Appraisal, Company Culture",582
Balkrishna Industries,Auto Components | 1k-5k Employees | Public | 37 years old | Mumbai +21 more,4.1,"Salary & Benefits, Job Security",,580
Mahindra Tractors,79 years old | Mumbai +100 more,4.3,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,579
Acme Cleantech Solutions,Industrial Machinery | 1k-5k Employees | 21 years old | Gurgaon/Gurugram +84 more,4,Salary & Benefits,Job Security,579
JSW Group,Iron & Steel | 10k-50k Employees | Conglomerate | 42 years old | Mumbai +75 more,4.1,"Job Security, Work Life Balance, Skill Development / Learning",,577
